orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
540725260116,DEMO8049461,540725260116, Sell,MESU6,MES,Micro E-mini S&P 500,7554.25,1,06/14/2026 18:50:46,540725260116, Filled,-2,0,0.25,,540725260116,06/14/2026 18:50:46,6/14/26,1,Exit, Market,,,,,1,7554.25,7554.25,,"37,771.25",USD
540725260127,DEMO8049461,540725260127, Sell,MESM6,MES,Micro E-mini S&P 500,7491.75,1,06/14/2026 18:50:51,540725260127, Filled,-2,0,0.25,,540725260127,06/14/2026 18:50:51,6/14/26,1,Exit, Market,,,,,1,7491.75,7491.75,,"37,458.75",USD
540725260138,DEMO8049461,540725260138, Buy,MESM6,MES,Micro E-mini S&P 500,7491.25,1,06/14/2026 18:51:01,540725260138, Filled,-2,0,0.25,,540725260138,06/14/2026 18:51:01,6/14/26,1,Tradingview, Limit,7491.50,,7491.5,,1,7491.25,7491.25,,"37,456.25",USD
540725260147,DEMO8049461,540725260147, Sell,MESM6,MES,Micro E-mini S&P 500,7491.25,1,06/14/2026 18:51:04,540725260147, Filled,-2,0,0.25,,540725260147,06/14/2026 18:51:04,6/14/26,1,Exit, Market,,,,,1,7491.25,7491.25,,"37,456.25",USD
540725260159,DEMO8049461,540725260159, Buy,MESM6,MES,Micro E-mini S&P 500,,,,540725260159, Canceled,-2,0,0.25,,540725260159,06/14/2026 18:51:14,6/14/26,1,Tradingview, Limit,7491.00,,7491.0,,,,,,,USD
540725260162,DEMO8049461,540725260162, Sell,MESM6,MES,Micro E-mini S&P 500,,,,540725260162, Canceled,-2,0,0.25,,540725260162,06/14/2026 18:51:14,6/14/26,1,Tradingview, Limit,7509.75,,7509.75,,,,,,,USD
540725260164,DEMO8049461,540725260164, Sell,MESM6,MES,Micro E-mini S&P 500,,,,540725260164, Canceled,-2,0,0.25,,540725260164,06/14/2026 18:51:14,6/14/26,1,Tradingview, Stop,,7484.75,,7484.75,,,,,,USD
540725260176,DEMO8049461,540725260176, Buy,MESM6,MES,Micro E-mini S&P 500,,,,540725260183, Canceled,-2,0,0.25,,540725260183,06/14/2026 18:52:26,6/14/26,1,Tradingview, Limit,7492.25,,7492.25,,,,,,,USD
540725260179,DEMO8049461,540725260179, Sell,MESM6,MES,Micro E-mini S&P 500,,,,540725260185, Canceled,-2,0,0.25,,540725260185,06/14/2026 18:52:26,6/14/26,1,Tradingview, Limit,7498.00,,7498.0,,,,,,,USD
540725260181,DEMO8049461,540725260181, Sell,MESM6,MES,Micro E-mini S&P 500,,,,540725260181, Canceled,-2,0,0.25,,540725260181,06/14/2026 18:52:16,6/14/26,1,Tradingview, Stop,,7486.00,,7486.0,,,,,,USD
540725260208,DEMO8049461,540725260208, Buy,MESM6,MES,Micro E-mini S&P 500,7550.0,1,06/16/2026 11:05:11,540725260208, Filled,-2,0,0.25,,540725260208,06/16/2026 11:05:11,6/16/26,1,Mobile Market, Market,,,,,1,7550.00,7550.0,,"37,750.00",USD
540725260217,DEMO8049461,540725260217, Sell,MESM6,MES,Micro E-mini S&P 500,7549.75,1,06/16/2026 11:05:19,540725260217, Filled,-2,0,0.25,,540725260217,06/16/2026 11:05:19,6/16/26,1,Mobile Market, Market,,,,,1,7549.75,7549.75,,"37,748.75",USD
540725260228,DEMO8049461,540725260228, Buy,MESM6,MES,Micro E-mini S&P 500,7550.0,1,06/16/2026 11:06:24,540725260228, Filled,-2,0,0.25,,540725260228,06/16/2026 11:05:53,6/16/26,1,Mobile Chart, Limit,7550.00,,7550.0,,1,7550.00,7550.0,,"37,750.00",USD
540725260232,DEMO8049461,540725260232, Buy,MESM6,MES,Micro E-mini S&P 500,7551.0,1,06/16/2026 11:06:15,540725260232, Filled,-2,0,0.25,,540725260232,06/16/2026 11:06:15,6/16/26,1,multibracket, Market,,,,,1,7551.00,7551.0,,"37,755.00",USD
540725260241,DEMO8049461,540725260241, Sell,MESM6,MES,Micro E-mini S&P 500,,,,540725260251, Canceled,-2,0,0.25,,540725260251,06/16/2026 11:06:15,6/16/26,1,multibracket, Limit,7553.50,,7553.5,,,,,,,USD
540725260243,DEMO8049461,540725260243, Sell,MESM6,MES,Micro E-mini S&P 500,7550.0,1,06/16/2026 11:06:24,540725260245, Filled,-2,0,0.25,,540725260245,06/16/2026 11:06:15,6/16/26,1,multibracket, Stop,,7550.00,,7550.0,1,7550.00,7550.0,,"37,750.00",USD
540725260274,DEMO8049461,540725260274, Sell,MESM6,MES,Micro E-mini S&P 500,7551.5,1,06/16/2026 11:10:43,540725260274, Filled,-2,0,0.25,,540725260274,06/16/2026 11:10:35,6/16/26,1,Ticket, Limit,7551.50,,7551.5,,1,7551.50,7551.5,,"37,757.50",USD
540725260285,DEMO8049461,540725260285, Sell,ESU6,ES,E-Mini S&P 500,7618.25,1,06/16/2026 11:21:21,540725260285, Filled,-2,0,0.25,,540725260285,06/16/2026 11:21:17,6/16/26,1,Chart, Stop,,7618.25,,7618.25,1,7618.25,7618.25,,"380,912.50",USD
540725260296,DEMO8049461,540725260296, Buy,ESU6,ES,E-Mini S&P 500,7619.25,1,06/16/2026 11:21:28,540725260296, Filled,-2,0,0.25,,540725260296,06/16/2026 11:21:28,6/16/26,1,AutoLiq, Market,,,,,1,7619.25,7619.25,,"380,962.50",USD
540725260307,DEMO8049461,540725260307, Sell,ESU6,ES,E-Mini S&P 500,,,,540725260307, Rejected,-2,0,0.25,,540725260307,06/16/2026 11:22:00,6/16/26,1,Chart, Stop,,7617.25,,7617.25,,,,,,USD
540725260310,DEMO8049461,540725260310, Sell,MESM6,MES,Micro E-mini S&P 500,,,,540725260310, Rejected,-2,0,0.25,,540725260310,06/16/2026 12:26:49,6/16/26,1,multibracket, Market,,,,,,,,,,USD
